ObstacleID,VertexID,x,y,z
999,0,120,0,-80
999,1,119.901,0,-76.8605
999,2,119.606,0,-73.7333
999,3,119.114,0,-70.6309
999,4,118.429,0,-67.5655
999,5,117.553,0,-64.5492
999,6,116.489,0,-61.5938
999,7,115.241,0,-58.711
999,8,113.815,0,-55.9123
999,9,112.216,0,-53.2087
999,10,110.451,0,-50.6107
999,11,108.526,0,-48.1288
999,12,106.448,0,-45.7726
999,13,104.227,0,-43.5516
999,14,101.871,0,-41.4743
999,15,99.3893,0,-39.5492
999,16,96.7913,0,-37.7836
999,17,94.0877,0,-36.1847
999,18,91.289,0,-34.7586
999,19,88.4062,0,-33.5112
999,20,85.4508,0,-32.4472
999,21,82.4345,0,-31.5708
999,22,79.3691,0,-30.8856
999,23,76.2667,0,-30.3943
999,24,73.1395,0,-30.0987
999,25,70,0,-30
999,26,66.8605,0,-30.0987
999,27,63.7333,0,-30.3943
999,28,60.6309,0,-30.8856
999,29,57.5655,0,-31.5708
999,30,54.5492,0,-32.4472
999,31,51.5938,0,-33.5112
999,32,48.711,0,-34.7586
999,33,45.9123,0,-36.1847
999,34,43.2087,0,-37.7836
999,35,40.6107,0,-39.5492
999,36,38.1288,0,-41.4743
999,37,35.7726,0,-43.5516
999,38,33.5516,0,-45.7726
999,39,31.4743,0,-48.1288
999,40,29.5492,0,-50.6107
999,41,27.7836,0,-53.2087
999,42,26.1847,0,-55.9123
999,43,24.7586,0,-58.711
999,44,23.5112,0,-61.5938
999,45,22.4472,0,-64.5492
999,46,21.5708,0,-67.5655
999,47,20.8856,0,-70.6309
999,48,20.3943,0,-73.7333
999,49,20.0987,0,-76.8605
999,50,20,0,-80
999,51,20.0987,0,-83.1395
999,52,20.3943,0,-86.2667
999,53,20.8856,0,-89.3691
999,54,21.5708,0,-92.4345
999,55,22.4472,0,-95.4508
999,56,23.5112,0,-98.4062
999,57,24.7586,0,-101.289
999,58,26.1847,0,-104.088
999,59,27.7836,0,-106.791
999,60,29.5492,0,-109.389
999,61,31.4743,0,-111.871
999,62,33.5516,0,-114.227
999,63,35.7726,0,-116.448
999,64,38.1288,0,-118.526
999,65,40.6107,0,-120.451
999,66,43.2087,0,-122.216
999,67,45.9123,0,-123.815
999,68,48.711,0,-125.241
999,69,51.5938,0,-126.489
999,70,54.5492,0,-127.553
999,71,57.5655,0,-128.429
999,72,60.6309,0,-129.114
999,73,63.7333,0,-129.606
999,74,66.8605,0,-129.901
999,75,70,0,-130
999,76,73.1395,0,-129.901
999,77,76.2667,0,-129.606
999,78,79.3691,0,-129.114
999,79,82.4345,0,-128.429
999,80,85.4508,0,-127.553
999,81,88.4062,0,-126.489
999,82,91.289,0,-125.241
999,83,94.0877,0,-123.815
999,84,96.7913,0,-122.216
999,85,99.3893,0,-120.451
999,86,101.871,0,-118.526
999,87,104.227,0,-116.448
999,88,106.448,0,-114.227
999,89,108.526,0,-111.871
999,90,110.451,0,-109.389
999,91,112.216,0,-106.791
999,92,113.815,0,-104.088
999,93,115.241,0,-101.289
999,94,116.489,0,-98.4062
999,95,117.553,0,-95.4508
999,96,118.429,0,-92.4345
999,97,119.114,0,-89.3691
999,98,119.606,0,-86.2667
999,99,119.901,0,-83.1395
1000,0,107.472,0,-55.481
1000,1,107.472,0,-55.481
1001,0,105.656,0,-64.8883
1001,1,105.656,0,-64.8883
1002,0,89.8579,0,-110.063
1002,1,89.8579,0,-110.063
1003,0,52.3628,0,-125.207
1003,1,52.3628,0,-125.207
1004,0,54.2154,0,-61.1366
1004,1,54.2154,0,-61.1366
1005,0,44.5542,0,-63.583
1005,1,44.5542,0,-63.583
1006,0,102.864,0,-105.324
1006,1,102.864,0,-105.324
1007,0,30.8186,0,-71.5154
1007,1,30.8186,0,-71.5154
1008,0,85.1791,0,-66.0793
1008,1,85.1791,0,-66.0793
1009,0,52.8421,0,-101.967
1009,1,52.8421,0,-101.967
1010,0,92.4941,0,-44.7186
1010,1,92.4941,0,-44.7186
1011,0,32.892,0,-72.6638
1011,1,32.892,0,-72.6638
1012,0,74.9433,0,-82.3604
1012,1,74.9433,0,-82.3604
1013,0,79.0688,0,-122.601
1013,1,79.0688,0,-122.601
1014,0,43.5936,0,-92.0333
1014,1,43.5936,0,-92.0333
1015,0,83.2064,0,-97.693
1015,1,83.2064,0,-97.693
1016,0,61.7571,0,-54.3652
1016,1,61.7571,0,-54.3652
1017,0,96.0178,0,-105.28
1017,1,96.0178,0,-105.28
1018,0,86.9438,0,-82.6639
1018,1,86.9438,0,-82.6639
1019,0,63.3661,0,-64.1052
1019,1,63.3661,0,-64.1052
1020,0,55.0608,0,-103.263
1020,1,55.0608,0,-103.263
1021,0,107.437,0,-48.6516
1021,1,107.437,0,-48.6516
1022,0,65.9949,0,-40.5813
1022,1,65.9949,0,-40.5813
1023,0,79.0314,0,-49.2725
1023,1,79.0314,0,-49.2725
1024,0,102.278,0,-112.769
1024,1,102.278,0,-112.769
1025,0,55.9234,0,-41.1576
1025,1,55.9234,0,-41.1576
1026,0,82.6096,0,-59.179
1026,1,82.6096,0,-59.179
1027,0,63.8141,0,-34.1509
1027,1,63.8141,0,-34.1509
1028,0,117.681,0,-76.9797
1028,1,117.681,0,-76.9797
1029,0,88.1467,0,-63.3778
1029,1,88.1467,0,-63.3778
1030,0,49.108,0,-115.608
1030,1,49.108,0,-115.608
1031,0,96.8476,0,-99.4435
1031,1,96.8476,0,-99.4435
1032,0,77.8987,0,-77.5406
1032,1,77.8987,0,-77.5406
1033,0,71.5636,0,-120.496
1033,1,71.5636,0,-120.496
1034,0,29.9462,0,-50.67
1034,1,29.9462,0,-50.67
1035,0,39.1711,0,-93.9241
1035,1,39.1711,0,-93.9241
1036,0,79.0082,0,-94.6758
1036,1,79.0082,0,-94.6758
1037,0,43.3718,0,-103.238
1037,1,43.3718,0,-103.238
1038,0,20.4793,0,-77.6411
1038,1,20.4793,0,-77.6411
1039,0,63.5192,0,-112.678
1039,1,63.5192,0,-112.678
