NodeID,ParentID,x,y,z,cost,active
0,-1,0,0,-76.2,0,1
1,0,0.855182,0,-76.1941,-0.815272,1
2,1,2.42396,0,-76.1656,-3.2296,1
3,2,4.24754,0,-76.1421,-7.46997,1
4,3,6.20338,0,-76.157,-13.648,1
5,4,7.47655,0,-76.1781,-21.0859,0
6,5,8.51149,0,-76.1938,-29.5941,1
7,6,9.97723,0,-76.2133,-39.5636,0
8,7,10.7385,0,-76.2217,-50.2764,1
9,8,12.4852,0,-76.2268,-62.7453,1
10,9,14.2543,0,-76.1748,-76.9571,0
11,10,14.8846,0,-76.1283,-91.833,1
12,11,16.2151,0,-75.9545,-108.015,1
13,12,17.838,0,-75.5869,-125.825,0
14,13,18.0362,0,-75.5309,-143.845,0
15,14,18.3136,0,-75.4489,-162.151,1
16,15,20.1712,0,-74.8184,-182.283,0
17,16,20.7974,0,-74.5905,-203.047,1
18,17,22.0801,0,-74.1351,-225.092,1
19,18,23.5654,0,-73.6412,-248.632,0
20,19,24.2419,0,-73.4236,-272.864,1
21,20,25.795,0,-72.9166,-298.621,0
22,21,26.3537,0,-72.7224,-324.971,0
23,22,26.8441,0,-72.5419,-351.794,1
24,23,27.5046,0,-72.2797,-379.27,1
25,24,28.66,0,-71.7527,-407.926,0
26,25,29.4297,0,-71.3404,-437.336,1
27,26,31.2046,0,-70.1419,-468.533,0
28,27,31.7466,0,-69.691,-500.269,1
29,28,32.1977,0,-69.2804,-532.45,1
30,29,33.6709,0,-67.7024,-566.099,1
31,30,34.6738,0,-66.4018,-600.749,0
32,31,34.9735,0,-65.971,-635.718,1
33,32,35.5608,0,-65.0589,-671.267,1
34,33,36.2458,0,-63.8676,-707.501,0
35,34,36.4691,0,-63.4472,-743.938,0
36,35,36.6709,0,-63.0527,-780.575,1
37,36,37.377,0,-61.5417,-817.948,1
38,37,37.981,0,-60.0528,-855.899,1
39,38,38.5646,0,-58.4805,-894.452,1
40,39,39.086,0,-57.0875,-933.513,1
41,40,39.7504,0,-55.4261,-973.248,1
42,41,40.4831,0,-53.7635,-1013.71,1
43,42,41.1474,0,-52.4309,-1054.82,1
44,43,41.876,0,-51.1772,-1096.66,1
45,44,42.6856,0,-49.9851,-1139.31,0
46,45,43.3538,0,-49.0882,-1182.63,1
47,46,44.1486,0,-48.0482,-1226.74,0
48,47,44.3519,0,-47.78,-1271.06,1
49,48,44.9491,0,-46.9802,-1315.98,1
50,49,46.4586,0,-44.7962,-1362.43,1
51,50,47.3761,0,-43.2616,-1409.77,1
52,51,48.4212,0,-41.3496,-1458.15,0
53,52,48.6171,0,-40.9978,-1506.76,0
54,53,48.9382,0,-40.4419,-1555.67,1
55,54,49.2852,0,-39.8787,-1604.94,0
56,55,49.6515,0,-39.332,-1654.58,1
57,56,50.5848,0,-38.1535,-1705.15,1
58,57,52.6345,0,-36.3182,-1757.75,0
59,58,52.9111,0,-36.1175,-1810.65,1
60,59,55.2295,0,-34.5763,-1865.84,1
61,60,56.2897,0,-33.9126,-1922.12,0
62,61,57.3556,0,-33.2652,-1979.47,1
63,62,58.344,0,-32.6832,-2037.8,0
64,63,58.7603,0,-32.4435,-2096.56,1
65,64,59.5473,0,-31.9998,-2156.09,0
66,65,59.9083,0,-31.8007,-2215.96,1
67,66,62.4087,0,-30.555,-2278.33,0
68,67,63.4379,0,-30.1553,-2341.75,1
69,68,64.3259,0,-29.8858,-2406.03,1
70,69,67.0888,0,-29.4951,-2473.1,1
71,70,69.535,0,-29.6511,-2542.59,1
72,71,70.9749,0,-29.8803,-2613.55,0
73,72,72.1821,0,-30.0866,-2685.7,1
74,73,73.1653,0,-30.2359,-2758.84,1
75,74,74.4686,0,-30.3771,-2833.27,1
76,75,77.2306,0,-30.3302,-2910.5,1
77,76,79.2248,0,-29.9355,-2989.68,1
78,77,81.6345,0,-29.16,-3071.29,0
79,78,82.1505,0,-28.971,-3153.44,1
80,79,84.2352,0,-28.1713,-3237.64,1
81,80,86.4999,0,-27.3658,-3324.12,0
82,81,87.1139,0,-27.1757,-3411.21,1
83,82,88.0273,0,-26.9158,-3499.21,0
84,83,88.6258,0,-26.7609,-3587.82,1
85,84,91.571,0,-26.1752,-3679.36,1
86,85,93.6994,0,-25.8286,-3773.04,1
87,86,95.1152,0,-25.5349,-3868.14,1
88,87,96.7739,0,-25.0425,-3964.91,0
89,88,97.7959,0,-24.632,-4062.68,1
90,89,100.01,0,-23.4339,-4162.67,1
91,90,101.679,0,-22.2442,-4264.32,0
92,91,102.018,0,-21.9688,-4366.3,0
93,92,102.436,0,-21.6116,-4468.73,1
94,93,103.644,0,-20.4669,-4572.34,1
95,94,105.376,0,-18.6512,-4677.69,0
96,95,106.2,0,-17.8164,-4783.87,1
97,96,108.209,0,-16.1055,-4892.07,1
98,97,110.5,0,-14.6754,-5002.53,1
99,98,113.196,0,-13.2355,-5115.7,1
100,99,115.235,0,-12.1347,-5230.92,1
101,100,117.944,0,-10.636,-5348.85,0
102,101,118.27,0,-10.4538,-5467.09,1
103,102,120.317,0,-9.32746,-5587.39,1
104,103,122.782,0,-8.05945,-5710.13,1
105,104,123.928,0,-7.54869,-5834.03,1
106,105,126.713,0,-6.61728,-5960.73,1
107,106,128.712,0,-6.1317,-6089.42,0
108,107,129.917,0,-5.8526,-6219.33,1
109,108,133.103,0,-5.01568,-6352.39,1
110,109,134.811,0,-4.56534,-6487.18,0
111,110,135.846,0,-4.32714,-6623,1
112,111,138.526,0,-3.80463,-6761.5,1
113,112,141.476,0,-3.17846,-6902.97,1
114,113,144.176,0,-2.38312,-7047.13,1
115,114,147.172,0,-1.15401,-7194.28,0
116,115,147.974,0,-0.739069,-7342.23,1
117,116,149.179,0,-0.0137351,-7491.38,0
118,117,149.515,0,0.216122,-7640.89,1
