witness_x,witness_y,witness_z,witness_cost,rep_x,rep_y,rep_z,rep_cost
0,0,-100,1581.14,14.1049,0,-98.1937,1513.28
16.1975,0,-97.8796,inf,29.1685,0,-96.2495,1440.96
31.3516,0,-95.8083,inf,44.9801,0,-93.1514,1364.5
47.3586,0,-92.8883,inf,61.8344,0,-90.2654,1283.44
64.3091,0,-89.7536,inf,77.0596,0,-87.7315,1210.46
79.631,0,-87.2,inf,92.9318,0,-85.2344,1134.73
95.6218,0,-84.7399,inf,109.027,0,-80.7744,1056.47
111.768,0,-79.9039,inf,125.827,0,-75.4841,974.296
128.684,0,-74.4794,inf,140.271,0,-70.0137,902.843
143.213,0,-68.7935,inf,155.257,0,-63.6513,828.092
158.34,0,-62.3039,inf,170.901,0,-56.4848,749.632
174.122,0,-54.9708,inf,187.446,0,-48.9235,666.798
190.891,0,-47.428,inf,201.523,0,-43.0582,596.979
205.162,0,-41.6424,inf,216.296,0,-37.3125,524.266
220.101,0,-35.9125,inf,231.803,0,-31.8644,448.782
235.791,0,-30.5617,inf,247.925,0,-26.4055,371.103
252.079,0,-25.1281,inf,264.809,0,-21.4508,291.941
269.15,0,-20.3267,inf,282.526,0,-17.7154,215.991
287.087,0,-17.1422,inf,299.171,0,-11.4056,161.308
302.895,0,-8.85063,inf,NULL,NULL,NULL,NULL
